CODE,SENSOR TECHNOLOGY
6023,camera
6024,camera
678,induction_loop
5414,radar
6025,camera
6026,camera
6027,camera
6028,camera
5415,radar
6029,camera
6030,camera
677,induction_loop
666,induction_loop
6031,camera
6032,camera
676,induction_loop
6033,camera
6034,camera
5416,radar
684,induction_loop
6035,camera
6036,camera
679,induction_loop
5687,induction_loop
5936,camera
5954,camera
680,induction_loop
5937,camera
5953,camera
685,radar
668,induction_loop
5807,radar
674,induction_loop
5955,camera
5938,camera
5417,radar
5418,radar
5419,radar
1886,induction_loop
5939,camera
5960,camera
889,radar
890,radar
5553,induc7ion_loop
1887,induction_loop
686,induction_loop
5958,camera
5959,camera
686,induction_loop
5438,induction_loop
5956,camera
5957,camera
683,induction_loop
